surah,verses,lexical_tokens,mean_tokens_per_verse,median_tokens_per_verse,editorial_case
1,7,29,4.1429,4,True
2,286,6117,21.3881,17.0,False
3,200,3481,17.405,15.0,False
4,176,3747,21.2898,18.0,False
5,120,2804,23.3667,21.0,False
6,165,3050,18.4848,16,False
7,206,3320,16.1165,14.0,False
8,75,1234,16.4533,16,False
9,129,2498,19.3643,18,False
10,109,1833,16.8165,15,False
11,123,1917,15.5854,15,False
12,111,1777,16.009,15,True
13,43,854,19.8605,18,False
14,52,830,15.9615,14.0,False
15,99,655,6.6162,6,False
16,128,1844,14.4062,14.0,False
17,111,1556,14.018,13,False
18,110,1579,14.3545,13.0,False
19,98,961,9.8061,9.0,True
20,135,1335,9.8889,9,False
21,112,1169,10.4375,10.0,False
22,78,1274,16.3333,14.0,False
23,118,1050,8.8983,8.0,False
24,64,1316,20.5625,16.5,False
25,77,893,11.5974,11,False
26,227,1318,5.8062,5,False
27,93,1151,12.3763,12,False
28,88,1430,16.25,16.0,False
29,69,976,14.1449,13,False
30,60,817,13.6167,12.5,False
31,34,546,16.0588,16.0,False
32,30,372,12.4,12.5,False
33,73,1287,17.6301,15,False
34,54,883,16.3519,15.5,False
35,45,775,17.2222,17,False
36,83,725,8.7349,8,True
37,182,861,4.7308,4.0,False
38,88,733,8.3295,7.0,False
39,75,1172,15.6267,14,False
40,85,1219,14.3412,13,False
41,54,794,14.7037,14.0,False
42,53,860,16.2264,15,False
43,89,830,9.3258,8,False
44,59,346,5.8644,6,False
45,37,488,13.1892,13,False
46,35,643,18.3714,18,False
47,38,539,14.1842,12.0,False
48,29,560,19.3103,19,False
49,18,347,19.2778,17.5,False
50,45,373,8.2889,8,False
51,60,360,6,6.0,False
52,49,312,6.3673,6,False
53,62,360,5.8065,4.0,False
54,55,342,6.2182,6,False
55,78,351,4.5,4.0,True
56,96,379,3.9479,4.0,False
57,29,574,19.7931,17,False
58,22,472,21.4545,18.5,False
59,24,445,18.5417,17.0,False
60,13,348,26.7692,21,False
61,14,221,15.7857,12.5,False
62,11,175,15.9091,17,False
63,11,180,16.3636,17,False
64,18,241,13.3889,12.5,False
65,12,287,23.9167,25.0,False
66,12,249,20.75,19.0,False
67,30,333,11.1,11.0,True
68,52,300,5.7692,5.0,False
69,52,258,4.9615,4.5,False
70,44,217,4.9318,4.0,False
71,28,226,8.0714,7.0,False
72,28,285,10.1786,10.0,False
73,20,199,9.95,6.0,False
74,56,255,4.5536,3.0,False
75,40,164,4.1,4.0,True
76,31,243,7.8387,8,False
77,50,181,3.62,3.0,False
78,40,173,4.325,3.5,False
79,46,179,3.8913,4.0,False
80,42,133,3.1667,3.0,False
81,29,104,3.5862,3,False
82,19,80,4.2105,4,False
83,36,169,4.6944,4.5,False
84,25,107,4.28,4,False
85,22,109,4.9545,4.0,False
86,17,61,3.5882,3,False
87,19,72,3.7895,3,False
88,26,92,3.5385,3.5,False
89,30,137,4.5667,4.0,False
90,20,82,4.1,4.0,False
91,15,54,3.6,3,False
92,21,71,3.381,3,False
93,11,40,3.6364,4,True
94,8,27,3.375,3.0,False
95,8,34,4.25,4.0,False
96,19,72,3.7895,4,False
97,5,30,6,5,False
98,8,94,11.75,11.5,False
99,8,36,4.5,4.0,False
100,11,40,3.6364,4,False
101,11,36,3.2727,4,False
102,8,28,3.5,3.5,False
103,3,14,4.6667,4,True
104,9,33,3.6667,4,False
105,5,23,4.6,4,False
106,4,17,4.25,4.0,False
107,7,25,3.5714,4,False
108,3,10,3.3333,3,True
109,6,26,4.3333,4.5,False
110,3,19,6.3333,7,False
111,5,23,4.6,5,False
112,4,15,3.75,4.0,True
113,5,23,4.6,5,False
114,6,20,3.3333,3.5,True
