surah,verse,lexical_tokens,whitespace_fields
1,1,4,4
1,2,4,4
1,3,2,2
1,4,3,3
1,5,4,4
1,6,3,3
1,7,9,9
2,1,1,1
2,2,7,9
2,3,8,8
2,4,12,12
2,5,8,9
2,6,11,11
2,7,12,14
2,8,11,11
2,9,10,10
2,10,12,13
2,11,11,11
2,12,7,7
2,13,19,20
2,14,16,16
2,15,7,7
2,16,11,11
2,17,17,17
2,18,6,6
2,19,19,20
2,20,25,28
2,21,11,11
2,22,23,24
2,23,20,20
2,24,13,14
2,25,34,39
2,26,39,43
2,27,20,21
2,28,13,14
2,29,19,20
2,30,28,30
2,31,15,15
2,32,12,13
2,33,22,23
2,34,13,13
2,35,18,18
2,36,19,21
2,37,11,12
2,38,17,18
2,39,10,11
2,40,13,13
2,41,18,19
2,42,8,8
2,43,7,7
2,44,10,11
2,45,8,9
2,46,8,8
2,47,11,11
2,48,19,19
2,49,18,19
2,50,10,10
2,51,12,12
2,52,8,8
2,53,7,7
2,54,26,27
2,55,14,14
2,56,7,7
2,57,18,20
2,58,20,21
2,59,18,18
2,60,28,31
2,61,59,64
2,62,24,24
2,63,15,15
2,64,13,14
2,65,12,12
2,66,9,9
2,67,20,22
2,68,23,25
2,69,18,19
2,70,17,17
2,71,24,26
2,72,10,11
2,73,11,12
2,74,37,41
2,75,19,19
2,76,23,24
2,77,9,9
2,78,11,11
2,79,24,25
2,80,23,25
2,81,13,14
2,82,10,11
2,83,29,29
2,84,15,15
2,85,49,53
2,86,13,14
2,87,28,30
2,88,10,11
2,89,26,27
2,90,27,29
2,91,30,31
2,92,11,11
2,93,27,29
2,94,17,17
2,95,9,10
2,96,25,27
2,97,18,18
2,98,12,12
2,99,10,11
2,100,10,11
2,101,22,22
2,102,74,82
2,103,12,13
2,104,12,13
2,105,25,27
2,106,19,20
2,107,17,18
2,108,18,19
2,109,33,35
2,110,17,19
2,111,18,20
2,112,17,17
2,113,31,33
2,114,30,32
2,115,12,14
2,116,14,17
2,117,11,12
